family name / surname;née / maiden-name;first name / forename;year of birth;birthday / birthdate ;place of birth / birthplace;year of death;day of death / deathdate;place of death / deathplace ;Nissen Bd. 1, S. (Seitenzahlen sind kursiv);Nissen Bd. 2 (1951: Nr. [ Titelverz. u. Künstlerverz. eingearbeitet - eigene VÖ: Nummern sind fett!;Nissen Suppl. 1966, Nummern (in Klammern: Sreitenzahlen);Barnhart (1965, Bd. ;"Artist; Botanist; C patron (of the arts) Fiction; Horticultur(al)ist; Translator";"function (Nissen sagt):Dr: Drucker; Kol: Koloriere; St. Kupferstecherin; Xyl: Holzschneider; Z: Zeichner, M Maler; L Lithographin)";town;country;Reference 1;Reference 2;Reference 3 ;Ref 4;Ref 5;Ref 6;Ref 7;
Acton;Knight;Frances;1793;;;;24.01.1881;Acton Scott Salop, England;;;;"Bd. 1: 11; Bd. 2: 302";A;"married T. P. Stackhouse Acton 1812; daughter of Thomas Andrew Knight (1759-1838). drew 3 plates for her father's Pomona Herefordiensis 1811 and a plate für Hogg and Bull's Herefordshire Pomona 1876-1885 ";;England;Desmond (1977);;;;;;;
Adamson;Gessner;Joy (Friederike Viktoria);;20.01.1910;Troppau, Schlesien, heute Tschechoslowakische Republik;;03.01.1980;near Nairobi, Kenia (murdered);;;;;A;conservationist, illustrated Jex-Blakes, Muriel: Some Wildflowers of Kenya. 1948;;;Strohmeier (1998);;;;;;;
Alcock;Scott;Nora Lilian Leopard;1874;18.08.1874;Hampstead, London, England;1972;;Berkshire, England;;;;Bd. 1: 30;B;Mycologist at Plant Pathology laboratory at Kew and Harpenden. Did pioneer research work on red core disease of strawberries. Contr. to Trans. Bot. Soc. Edinburgh;Edinburgh;England;Ewan et al. (2007);Desmond (1977);;;;;;
Allen;;Ruth Florence;;23.05.1879;Sturgeon Bay, Wisconsin, USA;;;;;;;Bd. 1: 41;B;american plant pathologist;;USA;http://en.wikipedia.org/wiki/Ruth_F._Allen ;Abruf am 10.08.2012;;;;;;
Allport;;Mary;1806;;;1895;;;;;;(Bd. 1: 43);A;Tasmania's first professional woman artist. Mary Allport painted miniatures, landscapes and studies of flora and fauna. Flowers in the wild, rather than in formal gardens, apparently appealed to Mary Allport as subjects. ;Hobart;Tasmania;N. N. (1986);;;;;;;
Andronikow, Fürstin v.;Wrangell;"Margarethe v. ""Daisy""";1877;07.01.1877;Moskau, Russia;1932;31.03.1932;Stuttgart, Germany;;;;;B;Pflanzenphysiologin, Agrikulturchemikerin. o. Prof. der Pflanzenernährungslehre an der Uni Hohenheim. ;Leipzig, Tübingen, Strasbourg, London, Paris, Reval, Hohenheim;Germany;Engelhardt (2003: 982-983);;Mägdefrau (o. Jz.);DBE&DBI;;;;
Anning;;Mary;1799;;Lyme Regis, Dorset, England;1847;;Lyme Regis, Dorset, England;;;;Fehlanzeige;;"paleontologist - Gates (1998: 71) zitiert aus Charles Dicken's magazine All the Year Round (1865) einen anonymen Autoren über Anning eine inscription under her memorial window: ""it [geology] was not a science when she began to discover, and so [she] helped to make it one.""";Lyme;England;Howard (2008: 84-85);Gates (1998: 68-71);Strohmeier (1998);Bodleian Library (1996);Haines (2001);;;
Araújo;;Dorothy Sue Dunn de;1947;;;;;;;;;Fehlanzeige;B;bras. Botanikerin;;Brasilia;belladonna2;;;;;;;
Ashby;;Alison Marjorie, Miss;1910;;;1987;12.08.1987;;;;;Fehlanzeige;A;South Australian flower painter. In dem vom South Australian Museum Board 1981 hrsg. 'Alison Ashby's Wildflowers of Southern Australia' -Band sind 34  Beispiele ihrer Zeichnungen. named after her: Acacia ashbyae und Solanum ashbyae. ;;Australia;N. N. (1986);;;;;;;
Ashworth;;Dorothy;1908;13.01.1908;Prestwich, Lancashire, England;1944;04.10.1944;;;;;Bd. 1: 83;;Assistant mycologist. R. Hort. Soc. Garden, Wisley, Surrey, 1935-1944;;England;Desmond (1977);;;;;;;
Ball;;Anne Elizabeth;1808;;;1872;;;;;;;B;"of Youghal, County Cork. collected seaweeds, flowering plants, and butterflies along the Irsih Coast; Algologist, assisted W. H. Harvey in 'Phycologia Britannica' 1846-1851. named after her: Ballia callitricha Harvey and Cladophora balliana.";;Ireland;Desmond (1977);Haines (2001);;;;;;
Basseporte;;Madeleine Francoise (Mlle);1701;28.04.1701;Paris, France;1780;   05.09.1780 06.09.1780;Paris, France;135, 154;287, 550, 2322;;Fehlanzeige;A;painter of flowers, Schülerin von Aubriet - Malerin, Schülerin des Hofmalers des Kardinals Rohan, Robert de Séri (1686-1733). - Mitarbeit an (Nr. 550) Duhamel du Monceau, H. L.: Traité des arbres fruitiers. Paris 1768 - ledig - Schiebinger: Bernard de Jussieu schätzte ihre Arbeit;;France;Schiebinger (1993: 50);Blunt (1971: 153, 175);Sáinz de Robles (1959: 114);;;;;
Beals;Matacotta;Marie Victoria;;24.09.1889;Genua, Italy;;;;;;;"Bd. 1: 145; Bd. 2: 459";;married 1924, New York City, Alfred Tennyson Beals;;USA;;;;;;;;
Behling;;Lottlisa;;15.07.1909;Neustettin, Pommern, (heute: Poland);;09.01.1989;"München; Germany";;;;;B;"Kunsthistorikerin; Prof. für Kimstgescdhichte an der Uni Jena; author of Die Pflanze in der mittelalterlichen Tafelmalerei (1957) u. Die Pflanzenwelt der mittelalterlichen Kathedralen (1964); ledig";Jena;Germany;Caesar, W.: Lottlisa Behling. - Deutsche Apotheker Zeitung 129(5): 272 v. 02.02.1989.;Mägdefrau (o. Jz.);;;;;;
Bergencrantz;Linné;Elisabeth Christina, ;;14.06.1743;Uppsala, Sweden;;15.04.1782;Hammarby, Sweden;;;;Bd. 1: 168;B;"älteste Tochter von C. v. Linné. Linné nimmt ihre Beobachtungen in Species Plantarum auf. E. Darwin: ""Miss E. C. Linnaeus first observed the Tropaeolum Majus to emit sparks."" zit. nach Shteir: 52. - Shteir 274: vö in Svenska Kongliga Vetenskaps  Academiens Handlingar 23 (1762): 284-286: Om Indianska Krassens Blickande.";;;Shteir (1996: 51-52, 274);George (2007: 116-117);;;;;;
Blackwell;;Elizabeth Marianne (auch Elsie Marianne) ;1889;08.01.1889;Leeds, England;;25.05.1973;;;;;Bd. 1: 195;;Demonstrator in Botany, Liverpool, 1912. Head of Botany Dept. Royal Holloway Coll. 1922-1949. President British Mycological Soc. 1942. Contr. to Trans. Br. Mycol. Soc.;;;Desmond (1977);;;;;;;
Bommer;Destrée;Elisa Caroline  [Barnhart: Élise];1832;20.01.1832;Laeken, Belgium;1910;17.01.1910;Brüssel, Belgium;;;;Bd. 1: 215;B;belgische Botanikerin, mycologist, ;;Belgien;belladonna2;http://en.wikipedia.org/wiki/Elisa_Caroline_Bommer ;Abruf am 10.08.12;;;;;
Dörrien;;Catharina Helena;1717;01.03.1717;"Hildesheim; Germany";1795;08.06.1795;Dillenburg, Germany;178;;;Bd. 1: 461;A;"Educator at  Anton Ulrich v. Erath's family in Dillenburg. Collected plants in Oranien-Nassau (today: Hessen, Germany). Made plant and flower paintings. Not married. 
Author of: 'Verzeichniß und Beschreibung der sämtlichen in den Fürstlich Oranien-Nassauischen Landen wildwachsenden Gewächse.' c. 800 sheets in seven vols. Herborn 1777. 
Drawings for  A. U. Erath's  'Codex diplomaticus Quedlinburgensis'. 1764.  
Member of 'Società botanica fiorentina' (1766), 'Gesellschaft Naturforschender Freunde zu Berlin (1776) and  'Regensburgische Botanische Gesellschaft' (1790). 
Reichenbach dedicated to her - and 10 other ladies - his book 'Botanik für Damen', Leipzig 1828.";Dillenburg;Germany;Viereck (2000);"Catharina Helena Dörrien : Zeichnerin, Botanikerin, Schriftstellerin (1717-1795); zum 200. Todestag
/ Geisthardt, Michael . - In: Dillenburger Blätter, ISSN 0931-1874, Bd. 24 = Jg. 12 (1995), S.2-18";http://de.wikipedia.org/wiki/Catharina_Helena_D%C3%B6rrien  ;Martin (2009: 40-41);Reichenbach (1828: I);Böhne (2011: 63-64);http://www.fembio.org/biographie.php/frau/frauendatenbank ;Abruf am 27.07.2012
Sandwith;;Cecil Ivry (Mrs.);1871;;;;06.02.1961;Clifton, Bristol, England;;;;;B;FLS 1949. collected plants in Chilanga district, North Rhodesia. made collection of local grasses for Home Office Laboratory at Bristol. Contributed notes to J. W. White's 'Flora Bristol' 1912, contributed 'Bristol Botany' to Proc. Bristol Nat. Soc. 1935-1947.;;England;Desmond (1977);;;;;;;
Schol-Schwarz o. Schwarz;Schol;"Marie Beatrice ""Bea""";1898;;Batavia, East India;1969;;;;;;;B;dutch phytopathologist;;Niederlande;http://en.wikipedia.org/wiki/Marie_Beatrice_Schol-Schwarz ;Abruf am 10.08.2012;http://translate.googleusercontent.com/translate_c?hl=de&langpair=en|de&rurl=translate.google.de&u=http://en.wikipedia.org/wiki/Marie_Beatrice_Schol-Schwarz&usg=ALkJrhj5QziIrcTd7qwNShylloAm6ye9rA;;;;;
Schuh;Reichenbach, Freiin v. ;Hermine v.;1819;05.09.1819;Hausach (Baden);1902;28.10.1902;Wien;;;;;B;"M RBG seit 1847. 
Tochter von K. L. v. Reichenbach.
vö. 1845 anonym: Untersuchungen über die zellenartigen Ausfüllungen der Gefässe. Bot. Ztg. 3: 225-231, 241-253.
1846 (anonym): Die Milchsaftgefässe, ihr Ursprung und ihre Entwicklung. Bot. ztg. 4: 833-843, 849-859, 865-872. ";Graz, Glogau (Schlesien), sp. Wien;Deutschland / Österreich;RBG;Zimmermann (1979);Böhne (2011: 45);Engelhardt (2003: 818);DBE&DBI;;;
Sessions;;"Katherine Olivia ""Kate""";1857;08.11.1857;San Francisco, California, USA;1940;24.03.1940;San Diego, California, USA;;;;;B / H;American botanist, horticulturalist, landscape architect, never married - ledig;;USA;belladonna2;http://en.wikipedia.org/wiki/Kate_Sessions ;Abruf am 14.08.2012;;;;;
Shore;;Margaret Emily;1819;25.12.1819;Bury St. Edmunds, Suffolk;1839;07.07.1839;Madeira;;;;;B;"Shteir 176: ""Journals record her work in systematic botany"" -  ihr Vater und Großvater waren Botaniker und fellows of the Linnean Society. 
Gates 2002: ""a child prodigy [Wunderkind]"" - Ornithologin u. Botanikerin.
Desmond: Numerous notes on plants in 'Journal of Emily Shore' 1891, portr.";;England;Shteir (1996: 176-177);Gates (2002: 652);Gates (1998: 72);Desmond (1977);;;;
Smith;Cranwell;Lucy;;07.08.1907;Auckland, New Zealand;;08.06.2000;;;;;;B;Curator of botany at Auckland Museum, palynologist, later Univ of Arizona, Tucson;;New Zealand / USA;http://en.wikipedia.org/wiki/Lucy_Cranwell ;Abruf am 10.08.2012;;;;;;
Stackhouse;;Emily;1811;;Modbury, Devon;1870;??.03.1870;Truro, Cornwall;;;;;A / B;"Shteir 180: ""a skilled botanical watercolorist who was responsible for many illustrations in popular and widely reprinted mid-nineteenth-century books about native plants, straddled (spreizen) the culture of accomplishments (Vollendung)  and the culture of art as a profession.""; Mitarbeit an: Johns, C. A.: Forest Trees of Britain (1847-1849), Ders.: A Week at the Lizard (1848), Ders.: Flowers of the Field (1851). ";;England;Shteir (1996: 180);Desmond (1977);;;;;;
Steubing;;"Eleonore ""Lore""";1922;;Hamm/Westfalen;2012;;;;;;;B;deutsche Botanikerin, Prof. Uni Giessen;;Deutschland;;;http://de.wikipedia.org/wiki/Lore_Steubing;;;;;
Stoppel;;Rose;1874;26.12.1874;Bündtken, Ostpreussen, heute Poland;1970;30.01.1970;Hamburg;;;;;B;erste Prof. d. Bot in Deutschland, vorher Ausbildung an der Gartenbauschule in Berlin, Arbeit im Bot. Garten Berlin, 1909 prom Uni Freiburg, 1924 habil, ab 1924 a.o. Prof an der Uni HH;Berlin, Freiburg i. Br., Strasbourg, Basel, Hamburg;Deutschland;Böhne (2011: 34-35, 84-87);Engelhardt (2003: 867);http://de.wikipedia.org/wiki/Rose_Stoppel;DBE&DBI;;;;
Taylor;;Miss;;;;;;;;2224;;;A;"Zeichnerin ca. 1840. - Mitarbeit an:
(2224) The Botanist (conducted by B. Maund, assisted by J. S. Henslow). London [1837-1846]";;;;;;;;;;
Tindale;;Mary Douglas, Dr;1920;19.09.1920;Randwick, Sydney;2011;31.03.2011;Sidney;;;;;B;australian botanist, pteridologist, Acacia specialist - not married - Hrsg. von drei bot. Journalen, - Australian botanical liaison officer at the Royal Botanic Gardens, Kew, in England. - Dir. Royal Botanic Gardens Sydney. ;Sydney;Australien;N. N. (1986);belladonna2;http://en.wikipedia.org/wiki/Mary_Tindale;Abruf am 13.08.2012;;;;
